id,Machine Failure Predicted,Failure Probability
136429,0,0.002185800316445657
136430,0,0.0010907209069516413
136431,0,0.00249011997018743
136432,0,0.003456395657254878
136433,0,0.003692506374428216
136434,0,0.0023178895199001855
136435,0,0.0031202527310187286
136436,0,0.005662852569074609
136437,0,0.0014809281509816352
136438,0,0.0012646602153717987
136439,0,0.0023460761698911666
136440,0,0.002249206338675427
136441,0,0.001021028579609138
136442,0,0.0018118903525340274
136443,0,0.002792113505525315
136444,0,0.005380663330297355
136445,0,0.0009711258632713014
136446,1,0.9920335966831315
136447,0,0.002156568127531571
136448,0,0.0018053247759068924
136449,0,0.006305503869143991
136450,0,0.00367212328245314
136451,0,0.019088322450692755
136452,0,0.020717560994382746
136453,0,0.0036809551253521476
136454,0,0.0015447017299657336
136455,0,0.0016822180535140132
136456,0,0.006710576351747837
136457,0,0.00576232600273091
136458,0,0.00490312400561455
136459,0,0.0028591686742432667
136460,0,0.003096649130100253
136461,0,0.0011930013016918462
136462,0,0.018244905985608857
136463,0,0.0016925113196712032
136464,0,0.003037515752136193
136465,0,0.0015893686294948443
136466,0,0.0018467037952191532
136467,0,0.0011089982759166863
136468,0,0.0025466241207692994
136469,0,0.001489200927194048
136470,0,0.002394209704376429
136471,0,0.0077557807197522035
136472,0,0.005775081529303711
136473,0,0.002767291547518405
136474,0,0.002306287461898617
136475,0,0.0034482977787783403
136476,0,0.00770615785580196
136477,0,0.0023609050616505947
136478,0,0.0017730371669403733
136479,0,0.0015519671220499552
136480,0,0.00581054747624954
136481,0,0.002132214835744902
136482,0,0.03002533503699903
136483,0,0.0032560669637388094
136484,0,0.0009927218619802836
136485,0,0.001397276802280411
136486,0,0.0021800779578456954
136487,0,0.0013579254765491947
136488,0,0.003803168397485377
136489,0,0.0010535848121166647
136490,0,0.02590983627729037
136491,0,0.0038077129668080945
136492,0,0.0030358755407492574
136493,0,0.0036053828867275393
136494,0,0.0010470528785388406
136495,0,0.002462876196758714
136496,0,0.004715329820739943
136497,0,0.0022284080664167353
136498,0,0.010252632970254841
136499,0,0.001257692250691892
136500,0,0.0007150666490424553
136501,0,0.001516836104668248
136502,0,0.006588694251128272
136503,0,0.002723661921700201
136504,0,0.0014264929147486658
136505,0,0.0011438876629329623
136506,0,0.0028723586334422567
136507,0,0.000656980358511993
136508,0,0.0010559037340842124
136509,0,0.0038099932997036423
136510,0,0.0014027384577648436
136511,0,0.009304313485641515
136512,0,0.0009876479987812681
136513,0,0.005543345557776821
136514,0,0.002072700778992034
136515,0,0.002352430604968457
136516,0,0.0033093017425088597
136517,0,0.0019277826975442802
136518,0,0.0017536505332786017
136519,0,0.002439212070768271
136520,0,0.0019606218713154482
136521,0,0.001697907593215243
136522,0,0.0027400856409148916
136523,0,0.001074687606693662
136524,0,0.001394353993099023
136525,0,0.005012242310552442
136526,0,0.005499219525800208
136527,0,0.0064301375363044035
136528,0,0.001440886477832258
136529,0,0.005908295403024463
136530,0,0.002747924902044945
136531,0,0.0036272594643179915
136532,0,0.003092109100315282
136533,0,0.00326881448813298
136534,0,0.0006629288175095603
136535,0,0.002938113693501324
136536,0,0.002129756010209971
136537,0,0.0008261491283915441
136538,0,0.006146998915449401
136539,0,0.0015080643166126664
136540,0,0.001803757072782032
136541,0,0.0008577707595720528
136542,0,0.0033662681510432226
136543,0,0.007909696260590186
136544,0,0.002424956209969244
136545,0,0.0046462591873011605
136546,0,0.0007097361831336592
136547,0,0.002586120616155559
136548,0,0.0021260035780498805
136549,0,0.0018272329731071077
136550,0,0.0067922851950432414
136551,0,0.0017388905194188676
136552,0,0.0019534755267631037
136553,0,0.0013144287328032422
136554,0,0.0030863468785411498
136555,0,0.015341252366923281
136556,0,0.007297415878187464
136557,0,0.0047317498048706505
136558,0,0.004079182968643301
136559,0,0.0025898723021341406
136560,0,0.005278967010941629
136561,0,0.008797621310531195
136562,0,0.0022954952920948664
